Título,Enlace,Colores,Precio,Moneda,Fecha
Nike Air Force 1 Low,https://www.jdsports.es/product/gris-nike-air-force-1-low/19596032_jdsportses/,None,130.00,€,20231215
Nike Air Force 1 Low,https://www.jdsports.es/product/negro-nike-air-force-1-low/19593811_jdsportses/,negro/negro/negroblanco/blanco/negro,120.00,€,20231215
Nike Dunk Low,https://www.jdsports.es/product/blanco-nike-dunk-low/19607230_jdsportses/,None,120.00,€,20231215
Nike Air Force 1 LV8,https://www.jdsports.es/product/blanco-nike-air-force-1-lv8/19596594_jdsportses/,blancoblanco/plateado/azul/blanco,130.00,€,20231215
Nike Nike Air Force 1 '07 LV8 Zapatillas - Hombre,https://www.jdsports.es/product/negro-nike-nike-air-force1-07-lv8-zapatillas---hombre/19598359_jdsportses/,None,130.00,€,20231215
Nike Air Force 1 LV8,https://www.jdsports.es/product/blanco-nike-air-force-1-lv8/19596592_jdsportses/,blancogris/blanco,130.00,€,20231215
adidas Originals Samba OG para mujer,https://www.jdsports.es/product/adidas-originals-samba-og-para-mujer/16050677_jdsportses/,"blanco/blanco/rosa, blanco/negro/negro, moradoblanco/azul/blanco/azul",120.00,€,20231215
Nike Air Flight 89,https://www.jdsports.es/product/gris-nike-air-flight-89/19606272_jdsportses/,None,130.00,€,20231215
adidas Originals Samba OG,https://www.jdsports.es/product/blanco-crudo-adidas-originals-samba-og/19602635_jdsportses/,negroblanco/negro,120.00,€,20231215
adidas Originals Gazelle Bold,https://www.jdsports.es/product/verde-adidas-originals-gazelle-bold/19602738_jdsportses/,negro/blanco/blanco,120.00,€,20231215
Nike Air Force 1 '07 LV8,https://www.jdsports.es/product/blanco-nike-air-force-1-07-lv8/19596041_jdsportses/,None,130.00,€,20231215
adidas Originals Gazelle,https://www.jdsports.es/product/adidas-originals-gazelle/19602713_jdsportses/,None,110.00,€,20231215
Nike Air Force 1 Low,https://www.jdsports.es/product/blanco-nike-air-force-1-low/19575420_jdsportses/,negro/negro/negronegro,120.00,€,20231215
adidas Originals Samba OG para mujer,https://www.jdsports.es/product/adidas-originals-samba-og-para-mujer/16042449_jdsportses/,"blanco/blanco/rosa, negro/blanco/blanco, moradoblanco/azul/blanco/azul",120.00,€,20231215
Nike Air Max 90 júnior,https://www.jdsports.es/product/negro-nike-air-max-90-jnior/19595250_jdsportses/,blanco/rojo/blanco,160.00,€,20231215
Nike Dunk Low,https://www.jdsports.es/product/gris-nike-dunk-low/19596593_jdsportses/,"negro/negro, blanco/rojo/rojo, blancoblanco/negro/blanco/azul/negro",130.00,€,20231215
Nike Air Max 1,https://www.jdsports.es/product/blanco-nike-air-max-1/19600238_jdsportses/,None,150.00,€,20231215
Nike Air Max Pulse,https://www.jdsports.es/product/negro-nike-air-max-pulse/19575122_jdsportses/,"blanco/blanco, blanco/blanco/blanco, negro/gris/blanco/grisnegro/dorado/dorado",160.00,€,20231215
Jordan Max Aura 5,https://www.jdsports.es/product/blanco-jordan-max-aura-5/19596342_jdsportses/,None,130.00,€,20231215
New Balance 327,https://www.jdsports.es/product/verde-new-balance-327/19596280_jdsportses/,"negro, negronegro/verde",120.00,€,20231215
